top - 18:12:18 up 16 min,  1 user,  load average: 0,36, 0,13, 0,11
Tasks: 232 total,   1 running, 231 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0,0 us,  0,0 sy,  0,0 ni,100,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   4160,9 total,   2298,3 free,    795,1 used,   1067,6 buff/cache
MiB Swap:   2048,0 total,   2048,0 free,      0,0 used.   3074,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2055 jfh       20   0  755684  29756  26232 S   0,0   0,7   0:00.03 evolution-addre
   2101 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/1:3-events
   2151 jfh       20   0  170800   6480   5892 S   0,0   0,2   0:00.00 gvfsd-metadata
   2154 jfh       20   0  432236  35784  26132 S   0,0   0,8   0:00.11 update-notifier
   2238 jfh       20   0  966280  50024  37440 S   0,0   1,2   0:01.73 gnome-terminal-
   2349 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/u16:1-events_power_effi+
   2434 jfh       20   0   19776   5676   3776 S   0,0   0,1   0:00.05 bash
   2474 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker/u16:0-events_unbound
   2544 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/6:0-events
   2559 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/5:0-cgroup_destroy
   2560 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/6:3
   2561 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker/5:1-events
   2630 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/7:0-mm_percpu_wq
   2633 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/7:3
   2655 jfh       20   0    2608   1584   1476 S   0,0   0,0   0:00.00 sh
   2691 jfh       20   0   20468   4040   3324 R   0,0   0,1   0:00.00 top
